Row 3 contains the names of relevant pypsa variables,,,,,,
Area,Name,Technology,Fuel,Bus,Present Capacity (MW),Marginal Cost (USD/MWh)
,JERA Meghnaghat Power Limited,,,Meghnaghat_400kV,718,
,Sreepur 150 MW PP BRPL,,,BarmiPP_132kV,160,
Chattogram,Chattogram TPP,,,Raozan_230kV,360,
,Raozan 25 MW PP,,,Raozan_230kV,25.5,
,Teknaf  20MW PP (Solartech),,,Cox'sBazar_132kV,20,
,Patenga 50MW PP (Baraka),,,Halishahar_132kV,50,
,"Karnaphuli Hydro PP Unit-1,2,3,4, 5",,,Kaptai_132kV,230,
,Sikalbaha 225MW CCPP,,,Sikalbaha_230kV,225,
,Sikalbaha Peaking GT,,,Sikalbaha_132kV,150,
,Sikalbaha 105 MW PP (Baraka Sikalbaha),,,Sikalbaha_230kV,105,
,Hathazari 100 MW peaking PP,,,Hathazari_132kV,98,
,Dohazari -Kalaish 100 MW Peaking,,,Dohazari_132kV,102,
,Juldah 100 MW PP Unit-3 (Acorn),,,Juldah_132kV,100,
,"Malancha, Ctg. EPZ (United)",,,Halishahar_132kV,42,
,Chattogram 108 MW PP (ECPV),,,Sikalbaha_132kV,108,
,Kaptai 7 MW  Solar PP,,,Kaptai_132kV,6,
,Anwara 300 MW PP (United),,,Anwara_230kV,300,
,Zodiac Power,,,Sikalbaha_230kV,54.363,
,Karnaphuli Power Ltd.,,,Sikalbaha_230kV,110,
,Juldah unit-2 (Acorn),,,Juldah_132kV,100,
,Anlima Energy Ltd.,,,Sikalbaha_230kV,116,
,Mirsharai 150 MW BRPL,,,Mirsarai_230kV,163,
,SS Power,,,Banskhali_400kV,1224,
,Cox's Bazar Wind,,,USDKWindFarm_132kV,60,
,Matarbari 2*600 MW (CPGCBL),,,Matarbari_400kV,1150,
Cumilla,Ashuganj CCPP 225 MW,CCGT,,Ashuganj_132kV,221,
,Ashuganj 450 MW CCPP(North),CCGT,,AshuganjNorth_400kV,350.01,
,Ashuganj 450 MW CCPP(South),CCGT,,Ashuganj_230kV,342.01,
,Ashuganj 420 MW CCPP(East),CCGT,,Ashuganj_230kV,393,
,Ashuganj TSK 50 MW PP,,,Ashuganj_132kV,46.701,
,Ashuganj 55 MW PP (Precision),,,Ashuganj_132kV,52.824,
,Ashuganj 195 MW PP (APSCL-United),,,Ashuganj_230kV,195,
,Ashuganj 51 MW PP (Midland),,,Ashuganj_230kV,51,
,Ashuganj 150MW PP (Midland),,,Ashuganj_230kV,150,
,Titas 50 MW Peaking PP,,,DaudkandiPP_132kV,52,
,Chandpur 150 MW CCPP,,,Chandpur_132kV,163,
,Chandpur 200MW (Desh energy),,,DeshPP_132kV,200,
,Jangalia 52 MW PP (Lakdanavi),,,CumillaSouth_132kV,52.2,
,Cumilla 25 MW PP (Summit),,,CumillaNorth_132kV,25,
,Feni Lanka Power,,,Feni_132kV,114,
,Chowmuhani 113 MW,,,Chowmuhani_132kV,113,
,Chandpur 115(Doreen),,,Chandpur_132kV,115,
,Sonagazi 75 MW (AC) Solar Power Plant,,,Sonagazi_230kV,75,
Mymensingh,RPCL 210MW CCPP,CCGT,,RPCLPP_132kV,210,
,Sarishabari 3 MW Solar Plant,,,Jamalpur_132kV,2.71,
,Mymensingh 200 MW PP (United),,,UnitedPP_132kV,200,
,Jamalpur 115 MW PP (United),,,UnitedPP_132kV,115,
,Sutiakhali 50 MW Solar PP,,,Mymensingh_132kV,50,
,Tangail Palli Power Gen 22 MW,,,Tangail_132kV,22,
,Bhairab 54.5 MW,,,Kishoreganj_132kV,54.5,
Sylhet,Moulvibazar 10 MW Solar Power Plant,,,Srimangal_132kV,0,
,Fenchugonj CCPP Phase-1,CCGT,,Fenchuganj_132kV,90,
,Fenchugonj CCPP Phase-2,CCGT,,Fenchuganj_132kV,90,
,Kushiara 163 MW CCPP (KP),CCGT,,Fenchuganj_230kV,163,
,Shajibazar 330 MW CCPP,CCGT,,Shahjibazar_230kV,330,
,Shahjibazar GTPP Unit- 8 & 9,,,Shahjibazar_132kV,66,
,Shahjibazar 86MW PP (Shahjibazar),,,Shahjibazar_132kV,86,
,Shahjibazar 100 MW GTPP,,,Shahjibazar_132kV,100,
,Sylhet 225 MW CCPP,CCGT,,Sylhet_132kV,231,
,Sylhet  20 MW GTPP,,,Sylhet_132kV,20,
,Shahjahanulla 25 MW PP,,,Sylhet_132kV,25,
,Bibiana-II 341 MW CCPP (Summit),CCGT,,Bibiyana_400kV,341,
,Bibiyana-III 400 MW CCPP,CCGT,,Bibiyana_400kV,400,
,Bibiyana South 400 MW,,,Bibiyana_400kV,383,
Khulna,Bheramara GTPP Unit-3,,,Bheramara_132kV,16,
,Faridpur 50 MW Peaking PP,,,Faridpur_132kV,54,
,Khulna 225 MW CCPP,CCGT,,KhulnaCentral_132kV,230,
,Gopalganj 100 MW Peaking PP,,,Gopalganj_132kV,109,
,Bheramara 410 MW CCPP,CCGT,,Bheramara_132kV,410,
,Rupsha 105 MW PP (Orion rupsha),,,LabancharaPP_132kV,105,
,Madhumati 100 MW PP,,,Gopalganj_132kV,105,
,Mongla Orion 100 MW Solar PP,,,Mongla_132kV,100,
,Khulna 330 MW CCPP,CCGT,,Goalpara_132kV,336,
,Rampal 1320 MW (BIFPCL),,,Rampal_400kV,1234.2,
Barishal,Patuakhali 1320 MW (RNPL),,,RNPL_400kV,1244,
,Barisal 110 MW PP (Summit ),,,Barishal_132kV,110,
,Bhola  33 MW PP (Venture),,,Borhanuddin_230kV,11.04,
,Bhola 225 MW  CCPP,,,Borhanuddin_230kV,194,
,Payra 1320 MW,,,PayraPP_400kV,1244,
,Bhola Nutan Biddut BD LTD,,,Borhanuddin_230kV,220,
,United Payra Power Ltd.,,,Patuakhali_132kV,150,
,Barisal 307 MW,,,Barishal307MWPP_400kV,307,
,Barisal 1 MW Solar Plant,,,Barishal_132kV,1,
Rajshahi,Pabna 64 MW Solar Plant,,,Pabna64MWSolarPP_132kV,64.55,
,Baghabari 71 MW GTPP,,,Baghabari_132kV,70,
,Baghabari  100 MW GTPP,,,Baghabari_132kV,100,
,Baghabari  50 MW Peaking PP,,,Baghabari_132kV,52,
,Bera 70 MW Peaking PP,,,BeraPP_132kV,71,
,Katakhali 50 MW Peaking PP,,,Rajshahi_132kV,50,
,Sirajganj 225MW CCPP Unit-1,CCGT,,SirajganjSouthWest_230kV,214,
,Sirajganj 225MW CCPP Unit-2,CCGT,,SirajganjSouthWest_230kV,220,
,Sirajganj 225MW CCPP Unit-3,CCGT,,SirajganjSouthWest_230kV,220,
,Sirajganj 400 MW CCPP Unit-4,CCGT,,SirajganjSouthWest_230kV,413.792,
,Santahar  50 MW Peaking PP,,,Naogaon_132kV,50,
,Natore 52 MW PP (Rajlanka),,,Natore_132kV,52.2,
,Chapainawabganj 100 MW Peaking PP,,,Amnura_132kV,104,
,Bagura 113 MW PP (Confidence)-2,,,BoguraSouth_132kV,113,
,Bagura 113 MW PP (Confidence)-1,,,BoguraSouth_132kV,113,
,Sirajganj 6.55 MW Solar,,,Sirajganj_132kV,6.09,
,Sirajganj 68 MW Solar Park,,,Sirajganj_132kV,68,
,Pabna Solar 100 MW,,,DynamicSunSolarPP_132kV,100,
,Sirajganj 2 MW Wind Power Plant,,,Sirajganj_132kV,2,
Rangpur,Saidpur 150 MW Simple Cycle Power Plant,,,Saidpur_132kV,162.443,
,Barapukuria TPP Unit-1 & 2,,,Barapukuria_230kV,170,
,Barapukuria 275 MW TPP Unit-3,,,Barapukuria_230kV,274,
,Rangpur 20 MW  GTPP,,,Rangpur_132kV,20,
,Saidpur 20 MW GTPP,,,Saidpur_132kV,20,
,Rangpur 113 MW PP (Confidence),,,ConfidencePP_132kV,113,
,Sympa Solar Power 8 MW,,,Panchagarh_132kV,8,
,Energypac Power Venture Thakurgaon Ltd.,,,Thakurgaon_132kV,115,
,Intraco Solar 30 MW,,,Lalmonirhat_132kV,30,
,Teesta Solar Limited,,,TeestaSolar_132kV,200,
